user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status
vishalboricha,"bhavnagar,gujarat,india",Twitter for Android,,2022-08-17 08:05:34,False,86,#BoycottbollywoodForever hey #ArjunKapoor do you still think that you are more talented than #SSR ? do you still th… https://t.co/r14V0gxQ5F,0,False
prof_right,,Twitter Web App,,2022-08-17 08:05:32,False,302,"#BoycottbollywoodForever 
#BoycottPathan 
See how much #ShahRukhKhan𓀠 loves Pakistan https://t.co/8cY5cVjFsJ",0,False
keshri_omkar,"Uttar Pradesh, India",Twitter for Android,,2022-08-17 08:04:54,False,125,"#BoycottbollywoodForever
#BoycottbollywoodForever 
Ghghh",0,False
gstr5050,,Twitter for Android,,2022-08-17 08:04:33,False,19,"He himself mentioned actor in the last
He knows it very well
That he is a Son that's why he became an actor 😜
The l… https://t.co/3Aarz9071J",0,False
Ronitsharma7777,,Twitter Web App,,2022-08-17 08:04:04,False,2,"This is what this fellow calls his audience openly.

#BoycottbollywoodForever 
#ArjunKapoor 
#BoycottVikramVedha… https://t.co/5LdGbVOPEz",1,False
NagarBalram1,,Twitter for Android,,2022-08-17 08:04:01,False,143,"How many hit movies have you given before Boycott Bollywood?? @arjunk26
#BoycottbollywoodForever #BoycottBollywood",0,False
SomaDut96461948,At t glass door bet life n SSR,Twitter for Android,,2022-08-17 08:03:46,False,1323,"Criminals r mocking t judicial system
CBI,When will u realise t need to tk actions against them..??… https://t.co/vxajozAVli",5,False
SomaDut96461948,At t glass door bet life n SSR,Twitter for Android,,2022-08-17 08:02:36,False,1323,"Sushant's justice is not a salable product 

#BoycottbollywoodForever
#BoycottVikramVedha
#BoycottPathaan… https://t.co/9Mgxg9hyfT",7,False
Mrinmoy55326573,"Guwahati, India",Twitter for Android,,2022-08-17 08:02:14,True,1455,Time to take him to streets...#BoycottbollywoodForever this jokers will understand the price for going against Hind… https://t.co/hwgzUMpUYw,2,False
driftwood03,,Twitter for iPad,,2022-08-17 08:02:03,True,253,"Oh become too much …murdering Shushant, was not too much? #BoycottbollywoodForever #JusticeForSSR… https://t.co/m0YO27gqp8",1,False
BishtPrasanna,india,Twitter Web App,,2022-08-17 08:01:53,False,12,"Shame 💸😂🙏
Actress #JacquelineFernandez named as an accused by ED in chargesheet of conman #SukeshChandrashekar's Rs… https://t.co/vpgncEbBkD",7,False
RajeshkumarA777,"Hyderabad, India",Twitter for iPhone,,2022-08-17 08:01:45,False,178,@Dr_RizwanAhmed 1000% ready to #BoycottbollywoodForever Tata Bye bye good bye Khan’s and Bhatt families #BoycottAliaBhatt #BoycottBollywood,0,False
PureLove4SSR,,Twitter for Android,,2022-08-17 08:01:39,False,328,Remember @iHrithik supported the film Lal Singh Chaddha in which Aamir Khan insulted Indian Army &amp; Sanatan Dharma.… https://t.co/a0wh6tWv9A,7,False
rwboyrw,,Twitter for iPhone,,2022-08-17 08:01:33,True,503,#AnuragKashyap #TapseePannu soon dey will make a video for begging to watch Der movie. #BoycottbollywoodForever #powerofhindu,0,False
92Kashmir92,Delhi ,Twitter Web App,,2022-08-17 08:01:24,False,25,"The old experience of not hoisting the flag...
#Boycottaajtak #Hindus #ParleG #Rapists #BoycottbollywoodForever https://t.co/jQtSS6DzhT",0,False
Captain20221997,,Twitter for Android,,2022-08-17 08:01:22,False,1,"They will never understand how we love our MOTHER INDIA 
#BoycottbollywoodForever https://t.co/c0yBZ3vAhn",0,False
Bebak_Vichar,India,Twitter for Android,,2022-08-17 08:00:36,True,594,@aliaa08 #Brahmastra movie is full of copy like #Copywood alway does. #Mouniroy is exactly like #WandaMaximoff of… https://t.co/wnJO6TJzVy,0,False
AnushaLatheef,Male' / Maldives,Twitter for Android,,2022-08-17 08:00:34,False,1280,"@kamaalrkhan Good News 
#BoycottbollywoodForever
#JusticeForSushantSinghRajput",0,False
